condition,seed
altruist,2053695854357871005
altruist,4517457392071889495
altruist,2574020394472462046
altruist,1890702223848595625
altruist,586287033698423193
altruist,1728372192399379054
altruist,4291835990902352011
altruist,7738774760351418614
altruist,8286444275301796832
altruist,5131712758418120108
altruist,2945194472877206461
altruist,7795859673851708282
altruist,5125821543982213238
altruist,3971837850219807024
altruist,1885446857198079865
altruist,7008421793132065041
altruist,6622000703604942743
altruist,6344863178936378387
altruist,4879548657232103939
altruist,801519116549617023
altruist,8474893131606635472
altruist,2302636251494628997
altruist,1453607047024582931
altruist,5408184617760098545
altruist,6670988768861278913
altruist,3547098369942706623
altruist,1283066103397798384
altruist,7012091250016467664
altruist,8363943803604256569
altruist,3000438492122948673
