condition,seed,executionTime,extinct,finalPopulation,totalDeaths,totalBorn,finalTimestep,finalMeanWealth,finalSocietalWealth,finalGini,finalMeanTimeToLive,totalCombatActions,totalTradeActions,totalReproductionActions,totalLendingActions
altruist,2053695854357871005,2841.87,False,1315,85490,86555,5000,53.26,70041.64,0.139,19.0,317,2469579,85836,39946
altruist,4517457392071889495,1020.77,False,973,64654,65377,5000,72.99,71023.35,0.227,22.37,194,1205841,64654,26697
altruist,2574020394472462046,669.26,False,338,23055,23143,5000,58.88,19900.92,0.177,11.43,203,435235,22916,731
altruist,1890702223848595625,1139.56,False,525,28977,29252,5000,88.67,46550.66,0.311,12.35,213,146340,28908,6796
altruist,586287033698423193,1.88,True,0,293,43,184,0.0,0.0,0.0,0.0,177,530,43,13
altruist,1728372192399379054,2702.88,False,1305,98194,99249,5000,48.91,63830.39,0.172,17.38,631,2364608,98568,15325
altruist,4291835990902352011,1.5,True,0,273,23,141,0.0,0.0,0.0,0.0,166,349,23,8
altruist,7738774760351418614,2.08,True,0,293,43,227,0.0,0.0,0.0,0.0,172,448,43,11
altruist,8286444275301796832,592.65,False,413,23936,24099,5000,117.35,48464.95,0.353,15.09,198,172723,23775,8356
altruist,5131712758418120108,1471.81,False,866,50130,50746,5000,93.67,81117.39,0.339,21.12,187,1210816,50156,36862
altruist,2945194472877206461,2063.31,False,1168,92715,93633,5000,56.43,65908.04,0.178,18.14,218,1875406,92772,37957
altruist,7795859673851708282,3101.22,False,1324,89268,90342,5000,50.92,67422.96,0.159,18.4,333,2377129,89624,35425
altruist,5125821543982213238,1549.91,False,997,56069,56816,5000,79.09,78856.86,0.279,21.82,282,1314139,56136,21419
altruist,3971837850219807024,2.17,True,0,303,53,228,0.0,0.0,0.0,0.0,175,492,53,15
altruist,1885446857198079865,1775.62,False,1065,65649,66464,5000,65.88,70157.74,0.246,19.66,199,1559898,65830,18343
altruist,7008421793132065041,1.73,True,0,275,25,137,0.0,0.0,0.0,0.0,160,462,25,6
altruist,6622000703604942743,1846.8,False,1138,61801,62689,5000,60.76,69142.09,0.273,18.01,494,1625358,62082,21475
altruist,6344863178936378387,143.49,False,78,6458,6286,5000,89.27,6963.18,0.245,11.79,175,13928,6228,969
altruist,4879548657232103939,241.12,False,196,10985,10931,5000,97.34,19078.84,0.314,9.68,174,35942,10801,1170
altruist,801519116549617023,1.67,True,0,275,25,183,0.0,0.0,0.0,0.0,162,436,25,12
altruist,8474893131606635472,1730.45,False,1071,75626,76447,5000,71.36,76426.69,0.224,20.77,225,1451537,75507,25887
altruist,2302636251494628997,2202.9,False,1278,90975,92003,5000,53.98,68986.28,0.169,18.42,420,2015824,91171,28662
altruist,1453607047024582931,1907.36,False,1157,86614,87521,5000,62.82,72684.66,0.189,20.2,699,1754863,86743,29481
altruist,5408184617760098545,2620.33,False,1297,86013,87060,5000,56.36,73099.59,0.153,19.66,591,2248671,86365,39335
altruist,6670988768861278913,2044.95,False,1164,89082,89996,5000,52.69,61334.02,0.196,17.18,285,1933143,89127,29734
altruist,3547098369942706623,2419.26,False,1195,82972,83917,5000,61.83,73891.78,0.168,20.49,571,1812987,83088,31032
altruist,1283066103397798384,1093.79,False,524,39785,40059,5000,70.11,36735.61,0.241,10.97,170,227913,39533,9503
altruist,7012091250016467664,2416.57,False,1207,80775,81732,5000,63.36,76473.09,0.197,21.3,267,1998945,81013,13639
altruist,8363943803604256569,3099.99,False,1317,94992,96059,5000,56.89,74919.17,0.166,20.92,633,2427003,95449,14452
altruist,3000438492122948673,849.34,False,517,40392,40659,5000,79.89,41301.13,0.265,12.38,204,289172,40185,8129
