condition,seed
bentham,2053695854357871005
bentham,4517457392071889495
bentham,2574020394472462046
bentham,1890702223848595625
bentham,586287033698423193
bentham,1728372192399379054
bentham,4291835990902352011
bentham,7738774760351418614
bentham,8286444275301796832
bentham,5131712758418120108
bentham,2945194472877206461
bentham,7795859673851708282
bentham,5125821543982213238
bentham,3971837850219807024
bentham,1885446857198079865
bentham,7008421793132065041
bentham,6622000703604942743
bentham,6344863178936378387
bentham,4879548657232103939
bentham,801519116549617023
bentham,8474893131606635472
bentham,2302636251494628997
bentham,1453607047024582931
bentham,5408184617760098545
bentham,6670988768861278913
bentham,3547098369942706623
bentham,1283066103397798384
bentham,7012091250016467664
bentham,8363943803604256569
bentham,3000438492122948673
