condition,seed,executionTime,extinct,finalPopulation,totalDeaths,totalBorn,finalTimestep,finalMeanWealth,finalSocietalWealth,finalGini,finalMeanTimeToLive,totalCombatActions,totalTradeActions,totalReproductionActions,totalLendingActions
bentham,2053695854357871005,2565.6,False,1411,92524,93685,5000,51.29,72373.3,0.16,19.03,2805,1906691,92857,36597
bentham,4517457392071889495,915.84,False,923,75050,75723,5000,60.36,55708.1,0.274,17.61,2164,1240689,74866,36642
bentham,2574020394472462046,3190.23,False,1480,96212,97442,5000,46.1,68226.97,0.162,17.57,2747,2217233,96586,26828
bentham,1890702223848595625,3689.07,False,1443,106486,107679,5000,47.89,69098.06,0.163,18.0,2593,2472421,106822,19820
bentham,586287033698423193,3587.54,False,1472,105406,106628,5000,47.04,69244.02,0.17,17.93,2405,2454979,105469,20421
bentham,1728372192399379054,812.32,False,908,75093,75751,5000,59.47,53994.58,0.253,17.51,2087,1261400,74728,37437
bentham,4291835990902352011,2963.41,False,1392,104310,105452,5000,49.1,68345.43,0.158,17.76,2891,2218138,104497,37825
bentham,7738774760351418614,2233.25,False,1413,99477,100640,5000,50.65,71571.12,0.159,18.27,2223,1925401,99565,43701
bentham,8286444275301796832,3195.42,False,1406,103683,104839,5000,48.66,68420.41,0.161,18.04,3280,2259478,103896,31558
bentham,5131712758418120108,3483.49,False,1437,104379,105566,5000,47.54,68315.39,0.159,18.16,2452,2410739,104652,40268
bentham,2945194472877206461,794.41,False,896,71682,72328,5000,59.2,53040.2,0.252,17.71,2432,1202114,71493,35969
bentham,7795859673851708282,3101.88,False,1431,102052,103233,5000,49.27,70505.64,0.167,18.33,3973,2277075,102286,22237
bentham,5125821543982213238,896.74,False,907,73607,74264,5000,61.22,55528.03,0.238,18.37,3208,1332695,73369,48509
bentham,3971837850219807024,3221.71,False,1431,111530,112711,5000,44.91,64267.29,0.169,16.64,3301,2351882,111490,25317
bentham,1885446857198079865,3372.51,False,1410,107047,108207,5000,52.98,74696.07,0.159,19.62,2737,2298576,107328,24116
bentham,7008421793132065041,3431.04,False,1425,105225,106400,5000,48.51,69120.3,0.163,18.48,2951,2380884,105565,26592
bentham,6622000703604942743,815.55,False,911,71214,71875,5000,59.93,54600.72,0.241,18.03,3136,1320630,71074,40030
bentham,6344863178936378387,3673.29,False,1445,107187,108382,5000,48.66,70314.26,0.166,18.23,3823,2437522,107439,20415
bentham,4879548657232103939,3517.83,False,1431,108182,109363,5000,46.7,66823.19,0.169,17.69,3667,2488325,108296,20885
bentham,801519116549617023,3714.92,False,1461,112288,113499,5000,45.04,65802.58,0.168,17.2,3155,2621335,112443,19577
bentham,8474893131606635472,2986.24,False,1437,103031,104218,5000,46.73,67150.24,0.165,17.31,2271,2187728,103292,26470
bentham,2302636251494628997,833.21,False,905,70284,70939,5000,59.79,54107.53,0.256,18.23,2887,1261518,70164,35672
bentham,1453607047024582931,2901.61,False,1458,100186,101394,5000,48.92,71326.76,0.168,18.58,3938,2111630,100444,23612
bentham,5408184617760098545,3019.05,False,1446,97278,98474,5000,46.62,67419.66,0.16,17.72,2999,2179118,97608,24114
bentham,6670988768861278913,3420.47,False,1431,103795,104976,5000,47.18,67508.98,0.165,17.63,4555,2399598,103968,26569
bentham,3547098369942706623,3385.91,False,1444,102760,103954,5000,48.96,70704.02,0.17,18.07,2877,2329629,103120,22087
bentham,1283066103397798384,743.14,False,911,66588,67249,5000,63.88,58193.21,0.255,19.08,3198,1196679,66399,35850
bentham,7012091250016467664,3049.44,False,1453,102549,103752,5000,48.02,69778.63,0.156,18.17,3202,2309099,102817,31387
bentham,8363943803604256569,3541.79,False,1470,100824,102044,5000,47.74,70177.99,0.156,18.16,3316,2400502,101239,31159
bentham,3000438492122948673,743.88,False,910,62774,63434,5000,63.62,57892.39,0.246,18.73,2130,1221722,62800,39977
