condition,seed
egoist,2053695854357871005
egoist,4517457392071889495
egoist,2574020394472462046
egoist,1890702223848595625
egoist,586287033698423193
egoist,1728372192399379054
egoist,4291835990902352011
egoist,7738774760351418614
egoist,8286444275301796832
egoist,5131712758418120108
egoist,2945194472877206461
egoist,7795859673851708282
egoist,5125821543982213238
egoist,3971837850219807024
egoist,1885446857198079865
egoist,7008421793132065041
egoist,6622000703604942743
egoist,6344863178936378387
egoist,4879548657232103939
egoist,801519116549617023
egoist,8474893131606635472
egoist,2302636251494628997
egoist,1453607047024582931
egoist,5408184617760098545
egoist,6670988768861278913
egoist,3547098369942706623
egoist,1283066103397798384
egoist,7012091250016467664
egoist,8363943803604256569
egoist,3000438492122948673
