condition,seed,executionTime,extinct,finalPopulation,totalDeaths,totalBorn,finalTimestep,finalMeanWealth,finalSocietalWealth,finalGini,finalMeanTimeToLive,totalCombatActions,totalTradeActions,totalReproductionActions,totalLendingActions
egoist,2053695854357871005,2390.57,False,1289,85876,86915,5000,60.73,78279.42,0.169,20.84,1207,2013495,86250,18090
egoist,4517457392071889495,222.07,False,208,12855,12813,5000,116.63,24259.44,0.334,15.42,192,180173,12673,2609
egoist,2574020394472462046,2.08,True,0,300,50,182,0.0,0.0,0.0,0.0,195,515,47,24
egoist,1890702223848595625,2489.94,False,1276,88056,89082,5000,53.77,68612.01,0.173,18.87,245,2156496,88395,14334
egoist,586287033698423193,1.89,True,0,288,38,185,0.0,0.0,0.0,0.0,179,428,37,11
egoist,1728372192399379054,555.46,False,435,25147,25332,5000,96.36,41915.68,0.334,14.26,216,161520,25009,8355
egoist,4291835990902352011,1747.95,False,1169,80258,81177,5000,65.22,76243.18,0.187,21.0,212,1709679,80378,21848
egoist,7738774760351418614,3245.45,False,1368,98107,99225,5000,53.45,73124.17,0.131,19.24,530,2656229,98408,42673
egoist,8286444275301796832,3375.84,False,1358,104974,106082,5000,51.85,70415.94,0.159,18.77,408,2664098,105373,18987
egoist,5131712758418120108,1454.41,False,649,36297,36696,5000,168.6,109419.0,0.494,23.66,192,915463,36580,61641
egoist,2945194472877206461,3038.2,False,1278,81987,83015,5000,63.93,81707.42,0.173,22.34,504,2143352,82368,15384
egoist,7795859673851708282,681.47,False,433,30252,30435,5000,84.42,36552.71,0.31,12.06,176,215456,29982,6871
egoist,5125821543982213238,1.67,True,0,275,25,177,0.0,0.0,0.0,0.0,186,393,25,9
egoist,3971837850219807024,3272.92,False,1303,86865,87918,5000,56.91,74149.49,0.182,20.39,237,2455080,87321,10230
egoist,1885446857198079865,1.66,True,0,282,32,155,0.0,0.0,0.0,0.0,183,410,32,14
egoist,7008421793132065041,2743.96,False,1270,96002,97022,5000,55.51,70503.9,0.167,19.11,297,2346306,96206,36130
egoist,6622000703604942743,2647.67,False,1274,91438,92462,5000,55.08,70177.94,0.152,19.31,437,2333397,91713,40772
egoist,6344863178936378387,2462.56,False,1311,91058,92119,5000,54.19,71045.39,0.17,19.11,969,2098054,91362,13947
egoist,4879548657232103939,1979.93,False,1122,87881,88753,5000,65.98,74027.55,0.181,20.47,221,1715157,87925,44361
egoist,801519116549617023,2253.95,False,1150,82932,83832,5000,63.41,72917.46,0.192,19.17,229,1766764,82856,35734
egoist,8474893131606635472,2516.52,False,1026,59537,60313,5000,81.03,83139.36,0.275,22.88,546,1588806,59751,23421
egoist,2302636251494628997,1837.74,False,1075,80175,81000,5000,65.79,70727.63,0.211,19.9,210,1640063,80068,17043
egoist,1453607047024582931,927.61,False,490,30994,31234,5000,93.95,46034.59,0.295,13.84,224,184406,30886,7437
egoist,5408184617760098545,2595.52,False,1333,84093,85176,5000,47.1,62783.67,0.163,16.93,183,2197109,84482,27495
egoist,6670988768861278913,1528.82,False,983,55219,55952,5000,78.13,76803.76,0.306,20.21,212,1267755,55318,33513
egoist,3547098369942706623,2.09,True,0,310,60,194,0.0,0.0,0.0,0.0,201,576,59,15
egoist,1283066103397798384,819.22,False,509,37621,37880,5000,86.25,43901.35,0.245,13.23,201,262998,37406,8979
egoist,7012091250016467664,2688.31,False,1287,94040,95077,5000,53.84,69291.17,0.182,18.81,481,2315075,94415,13891
egoist,8363943803604256569,2811.0,False,1336,99323,100409,5000,50.39,67326.71,0.173,18.48,278,2367408,99704,13144
egoist,3000438492122948673,1502.51,False,1074,86657,87481,5000,59.61,64020.67,0.219,18.55,262,1581187,86478,20183
