condition,seed
rawSugarscape,2053695854357871005
rawSugarscape,4517457392071889495
rawSugarscape,2574020394472462046
rawSugarscape,1890702223848595625
rawSugarscape,586287033698423193
rawSugarscape,1728372192399379054
rawSugarscape,4291835990902352011
rawSugarscape,7738774760351418614
rawSugarscape,8286444275301796832
rawSugarscape,5131712758418120108
rawSugarscape,2945194472877206461
rawSugarscape,7795859673851708282
rawSugarscape,5125821543982213238
rawSugarscape,3971837850219807024
rawSugarscape,1885446857198079865
rawSugarscape,7008421793132065041
rawSugarscape,6622000703604942743
rawSugarscape,6344863178936378387
rawSugarscape,4879548657232103939
rawSugarscape,801519116549617023
rawSugarscape,8474893131606635472
rawSugarscape,2302636251494628997
rawSugarscape,1453607047024582931
rawSugarscape,5408184617760098545
rawSugarscape,6670988768861278913
rawSugarscape,3547098369942706623
rawSugarscape,1283066103397798384
rawSugarscape,7012091250016467664
rawSugarscape,8363943803604256569
rawSugarscape,3000438492122948673
egoist,2053695854357871005
egoist,4517457392071889495
egoist,2574020394472462046
egoist,1890702223848595625
egoist,586287033698423193
egoist,1728372192399379054
egoist,4291835990902352011
egoist,7738774760351418614
egoist,8286444275301796832
egoist,5131712758418120108
egoist,2945194472877206461
egoist,7795859673851708282
egoist,5125821543982213238
egoist,3971837850219807024
egoist,1885446857198079865
egoist,7008421793132065041
egoist,6622000703604942743
egoist,6344863178936378387
egoist,4879548657232103939
egoist,801519116549617023
egoist,8474893131606635472
egoist,2302636251494628997
egoist,1453607047024582931
egoist,5408184617760098545
egoist,6670988768861278913
egoist,3547098369942706623
egoist,1283066103397798384
egoist,7012091250016467664
egoist,8363943803604256569
egoist,3000438492122948673
altruist,2053695854357871005
altruist,4517457392071889495
altruist,2574020394472462046
altruist,1890702223848595625
altruist,586287033698423193
altruist,1728372192399379054
altruist,4291835990902352011
altruist,7738774760351418614
altruist,8286444275301796832
altruist,5131712758418120108
altruist,2945194472877206461
altruist,7795859673851708282
altruist,5125821543982213238
altruist,3971837850219807024
altruist,1885446857198079865
altruist,7008421793132065041
altruist,6622000703604942743
altruist,6344863178936378387
altruist,4879548657232103939
altruist,801519116549617023
altruist,8474893131606635472
altruist,2302636251494628997
altruist,1453607047024582931
altruist,5408184617760098545
altruist,6670988768861278913
altruist,3547098369942706623
altruist,1283066103397798384
altruist,7012091250016467664
altruist,8363943803604256569
altruist,3000438492122948673
bentham,2053695854357871005
bentham,4517457392071889495
bentham,2574020394472462046
bentham,1890702223848595625
bentham,586287033698423193
bentham,1728372192399379054
bentham,4291835990902352011
bentham,7738774760351418614
bentham,8286444275301796832
bentham,5131712758418120108
bentham,2945194472877206461
bentham,7795859673851708282
bentham,5125821543982213238
bentham,3971837850219807024
bentham,1885446857198079865
bentham,7008421793132065041
bentham,6622000703604942743
bentham,6344863178936378387
bentham,4879548657232103939
bentham,801519116549617023
bentham,8474893131606635472
bentham,2302636251494628997
bentham,1453607047024582931
bentham,5408184617760098545
bentham,6670988768861278913
bentham,3547098369942706623
bentham,1283066103397798384
bentham,7012091250016467664
bentham,8363943803604256569
bentham,3000438492122948673
