condition,seed,executionTime,extinct,finalPopulation,totalDeaths,totalBorn,finalTimestep,finalMeanWealth,finalSocietalWealth,finalGini,finalMeanTimeToLive,totalCombatActions,totalTradeActions,totalReproductionActions,totalLendingActions
rawSugarscape,2053695854357871005,1.44,True,0,281,31,171,0.0,0.0,0.0,0.0,187,442,31,13
rawSugarscape,4517457392071889495,1.55,True,0,303,53,173,0.0,0.0,0.0,0.0,201,518,53,18
rawSugarscape,2574020394472462046,1649.26,False,1329,86573,87652,5000,53.12,70590.16,0.174,19.01,471,2282166,86976,12719
rawSugarscape,1890702223848595625,1367.68,False,1239,93797,94786,5000,59.35,73531.7,0.172,19.64,664,2054878,93973,40689
rawSugarscape,586287033698423193,1.74,True,0,305,55,180,0.0,0.0,0.0,0.0,174,497,55,20
rawSugarscape,1728372192399379054,489.27,False,514,37649,37913,5000,82.32,42313.88,0.267,12.25,537,112084,37544,5769
rawSugarscape,4291835990902352011,430.96,False,529,38040,38319,5000,89.12,47146.63,0.239,13.62,254,256827,37817,8671
rawSugarscape,7738774760351418614,235.49,False,333,23121,23204,5000,54.13,18024.43,0.179,10.75,175,339132,22990,534
rawSugarscape,8286444275301796832,1710.8,False,1306,97724,98780,5000,55.75,72815.14,0.163,19.43,572,2414491,98103,30719
rawSugarscape,5131712758418120108,1206.95,False,1118,70527,71395,5000,68.07,76107.34,0.214,20.84,427,1652014,70650,17631
rawSugarscape,2945194472877206461,1781.74,False,1359,98693,99802,5000,53.85,73175.37,0.15,19.49,699,2358560,99091,38504
rawSugarscape,7795859673851708282,1568.91,False,1286,91981,93017,5000,55.53,71408.35,0.175,19.49,401,2245888,92321,13078
rawSugarscape,5125821543982213238,1892.35,False,1348,95355,96453,5000,50.93,68653.77,0.146,18.49,557,2735607,95706,37990
rawSugarscape,3971837850219807024,1581.65,False,1260,91304,92314,5000,56.72,71469.49,0.186,19.27,366,2166786,91531,12078
rawSugarscape,1885446857198079865,1741.89,False,1290,84557,85597,5000,49.06,63292.81,0.185,17.53,454,2357562,84898,15367
rawSugarscape,7008421793132065041,1446.76,False,1253,77821,78824,5000,61.13,76597.99,0.166,20.84,704,2058152,78171,37031
rawSugarscape,6622000703604942743,1469.16,False,1166,64148,65064,5000,65.01,75806.16,0.247,20.18,515,1900502,64488,44299
rawSugarscape,6344863178936378387,233.93,False,388,27190,27328,5000,98.34,38156.83,0.312,12.14,189,218841,26990,6587
rawSugarscape,4879548657232103939,934.35,False,958,67935,68643,5000,76.63,73409.35,0.248,20.5,317,1397609,67845,29407
rawSugarscape,801519116549617023,506.0,False,543,40208,40501,5000,67.3,36543.72,0.219,9.64,203,203167,39900,8861
rawSugarscape,8474893131606635472,1352.42,False,1205,93785,94740,5000,57.14,68857.85,0.185,19.27,193,1869659,93888,14087
rawSugarscape,2302636251494628997,1309.92,False,1170,93006,93926,5000,63.28,74034.21,0.177,20.82,319,1948524,93160,40175
rawSugarscape,1453607047024582931,1699.21,False,1310,101705,102765,5000,54.93,71955.02,0.158,19.06,305,2444136,102036,36776
rawSugarscape,5408184617760098545,1.74,True,0,313,63,206,0.0,0.0,0.0,0.0,219,558,63,26
rawSugarscape,6670988768861278913,2.03,True,0,316,66,252,0.0,0.0,0.0,0.0,217,548,66,26
rawSugarscape,3547098369942706623,1490.83,False,1223,76877,77850,5000,61.69,75447.55,0.172,21.02,1180,2031372,77006,46614
rawSugarscape,1283066103397798384,1.93,True,0,307,57,208,0.0,0.0,0.0,0.0,200,513,57,10
rawSugarscape,7012091250016467664,1.76,True,0,298,48,202,0.0,0.0,0.0,0.0,183,441,47,7
rawSugarscape,8363943803604256569,143.03,False,233,17680,17663,5000,77.53,18063.93,0.24,11.95,193,219909,17460,795
rawSugarscape,3000438492122948673,1.64,True,0,283,33,210,0.0,0.0,0.0,0.0,184,435,33,12
egoist,2053695854357871005,2390.57,False,1289,85876,86915,5000,60.73,78279.42,0.169,20.84,1207,2013495,86250,18090
egoist,4517457392071889495,222.07,False,208,12855,12813,5000,116.63,24259.44,0.334,15.42,192,180173,12673,2609
egoist,2574020394472462046,2.08,True,0,300,50,182,0.0,0.0,0.0,0.0,195,515,47,24
egoist,1890702223848595625,2489.94,False,1276,88056,89082,5000,53.77,68612.01,0.173,18.87,245,2156496,88395,14334
egoist,586287033698423193,1.89,True,0,288,38,185,0.0,0.0,0.0,0.0,179,428,37,11
egoist,1728372192399379054,555.46,False,435,25147,25332,5000,96.36,41915.68,0.334,14.26,216,161520,25009,8355
egoist,4291835990902352011,1747.95,False,1169,80258,81177,5000,65.22,76243.18,0.187,21.0,212,1709679,80378,21848
egoist,7738774760351418614,3245.45,False,1368,98107,99225,5000,53.45,73124.17,0.131,19.24,530,2656229,98408,42673
egoist,8286444275301796832,3375.84,False,1358,104974,106082,5000,51.85,70415.94,0.159,18.77,408,2664098,105373,18987
egoist,5131712758418120108,1454.41,False,649,36297,36696,5000,168.6,109419.0,0.494,23.66,192,915463,36580,61641
egoist,2945194472877206461,3038.2,False,1278,81987,83015,5000,63.93,81707.42,0.173,22.34,504,2143352,82368,15384
egoist,7795859673851708282,681.47,False,433,30252,30435,5000,84.42,36552.71,0.31,12.06,176,215456,29982,6871
egoist,5125821543982213238,1.67,True,0,275,25,177,0.0,0.0,0.0,0.0,186,393,25,9
egoist,3971837850219807024,3272.92,False,1303,86865,87918,5000,56.91,74149.49,0.182,20.39,237,2455080,87321,10230
egoist,1885446857198079865,1.66,True,0,282,32,155,0.0,0.0,0.0,0.0,183,410,32,14
egoist,7008421793132065041,2743.96,False,1270,96002,97022,5000,55.51,70503.9,0.167,19.11,297,2346306,96206,36130
egoist,6622000703604942743,2647.67,False,1274,91438,92462,5000,55.08,70177.94,0.152,19.31,437,2333397,91713,40772
egoist,6344863178936378387,2462.56,False,1311,91058,92119,5000,54.19,71045.39,0.17,19.11,969,2098054,91362,13947
egoist,4879548657232103939,1979.93,False,1122,87881,88753,5000,65.98,74027.55,0.181,20.47,221,1715157,87925,44361
egoist,801519116549617023,2253.95,False,1150,82932,83832,5000,63.41,72917.46,0.192,19.17,229,1766764,82856,35734
egoist,8474893131606635472,2516.52,False,1026,59537,60313,5000,81.03,83139.36,0.275,22.88,546,1588806,59751,23421
egoist,2302636251494628997,1837.74,False,1075,80175,81000,5000,65.79,70727.63,0.211,19.9,210,1640063,80068,17043
egoist,1453607047024582931,927.61,False,490,30994,31234,5000,93.95,46034.59,0.295,13.84,224,184406,30886,7437
egoist,5408184617760098545,2595.52,False,1333,84093,85176,5000,47.1,62783.67,0.163,16.93,183,2197109,84482,27495
egoist,6670988768861278913,1528.82,False,983,55219,55952,5000,78.13,76803.76,0.306,20.21,212,1267755,55318,33513
egoist,3547098369942706623,2.09,True,0,310,60,194,0.0,0.0,0.0,0.0,201,576,59,15
egoist,1283066103397798384,819.22,False,509,37621,37880,5000,86.25,43901.35,0.245,13.23,201,262998,37406,8979
egoist,7012091250016467664,2688.31,False,1287,94040,95077,5000,53.84,69291.17,0.182,18.81,481,2315075,94415,13891
egoist,8363943803604256569,2811.0,False,1336,99323,100409,5000,50.39,67326.71,0.173,18.48,278,2367408,99704,13144
egoist,3000438492122948673,1502.51,False,1074,86657,87481,5000,59.61,64020.67,0.219,18.55,262,1581187,86478,20183
altruist,2053695854357871005,2841.87,False,1315,85490,86555,5000,53.26,70041.64,0.139,19.0,317,2469579,85836,39946
altruist,4517457392071889495,1020.77,False,973,64654,65377,5000,72.99,71023.35,0.227,22.37,194,1205841,64654,26697
altruist,2574020394472462046,669.26,False,338,23055,23143,5000,58.88,19900.92,0.177,11.43,203,435235,22916,731
altruist,1890702223848595625,1139.56,False,525,28977,29252,5000,88.67,46550.66,0.311,12.35,213,146340,28908,6796
altruist,586287033698423193,1.88,True,0,293,43,184,0.0,0.0,0.0,0.0,177,530,43,13
altruist,1728372192399379054,2702.88,False,1305,98194,99249,5000,48.91,63830.39,0.172,17.38,631,2364608,98568,15325
altruist,4291835990902352011,1.5,True,0,273,23,141,0.0,0.0,0.0,0.0,166,349,23,8
