condition,seed
rawSugarscape,2053695854357871005
rawSugarscape,4517457392071889495
rawSugarscape,2574020394472462046
rawSugarscape,1890702223848595625
rawSugarscape,586287033698423193
rawSugarscape,1728372192399379054
rawSugarscape,4291835990902352011
rawSugarscape,7738774760351418614
rawSugarscape,8286444275301796832
rawSugarscape,5131712758418120108
rawSugarscape,2945194472877206461
rawSugarscape,7795859673851708282
rawSugarscape,5125821543982213238
rawSugarscape,3971837850219807024
rawSugarscape,1885446857198079865
rawSugarscape,7008421793132065041
rawSugarscape,6622000703604942743
rawSugarscape,6344863178936378387
rawSugarscape,4879548657232103939
rawSugarscape,801519116549617023
rawSugarscape,8474893131606635472
rawSugarscape,2302636251494628997
rawSugarscape,1453607047024582931
rawSugarscape,5408184617760098545
rawSugarscape,6670988768861278913
rawSugarscape,3547098369942706623
rawSugarscape,1283066103397798384
rawSugarscape,7012091250016467664
rawSugarscape,8363943803604256569
rawSugarscape,3000438492122948673
