Coordinate,Action1,Action2,CosineSimilarity
I,MOVE,MOVE,1.0000
I,MOVE,COMBAT,0.3321
I,MOVE,TRADE,0.6961
I,MOVE,MATE,0.6923
I,MOVE,CREDIT,0.8251
I,MOVE,TAGGING,0.6961
I,COMBAT,MOVE,0.3321
I,COMBAT,COMBAT,1.0000
I,COMBAT,TRADE,0.5720
I,COMBAT,MATE,-0.0863
I,COMBAT,CREDIT,0.3983
I,COMBAT,TAGGING,0.5720
I,TRADE,MOVE,0.6961
I,TRADE,COMBAT,0.5720
I,TRADE,TRADE,1.0000
I,TRADE,MATE,0.6546
I,TRADE,CREDIT,0.9201
I,TRADE,TAGGING,1.0000
I,MATE,MOVE,0.6923
I,MATE,COMBAT,-0.0863
I,MATE,TRADE,0.6546
I,MATE,MATE,1.0000
I,MATE,CREDIT,0.7022
I,MATE,TAGGING,0.6546
I,CREDIT,MOVE,0.8251
I,CREDIT,COMBAT,0.3983
I,CREDIT,TRADE,0.9201
I,CREDIT,MATE,0.7022
I,CREDIT,CREDIT,1.0000
I,CREDIT,TAGGING,0.9201
I,TAGGING,MOVE,0.6961
I,TAGGING,COMBAT,0.5720
I,TAGGING,TRADE,1.0000
I,TAGGING,MATE,0.6546
I,TAGGING,CREDIT,0.9201
I,TAGGING,TAGGING,1.0000
D,MOVE,MOVE,1.0000
D,MOVE,COMBAT,0.9867
D,MOVE,TRADE,0.9829
D,MOVE,MATE,0.9686
D,MOVE,CREDIT,0.9864
D,MOVE,TAGGING,0.9829
D,COMBAT,MOVE,0.9867
D,COMBAT,COMBAT,1.0000
D,COMBAT,TRADE,0.9939
D,COMBAT,MATE,0.9770
D,COMBAT,CREDIT,0.9874
D,COMBAT,TAGGING,0.9939
D,TRADE,MOVE,0.9829
D,TRADE,COMBAT,0.9939
D,TRADE,TRADE,1.0000
D,TRADE,MATE,0.9917
D,TRADE,CREDIT,0.9973
D,TRADE,TAGGING,1.0000
D,MATE,MOVE,0.9686
D,MATE,COMBAT,0.9770
D,MATE,TRADE,0.9917
D,MATE,MATE,1.0000
D,MATE,CREDIT,0.9931
D,MATE,TAGGING,0.9917
D,CREDIT,MOVE,0.9864
D,CREDIT,COMBAT,0.9874
D,CREDIT,TRADE,0.9973
D,CREDIT,MATE,0.9931
D,CREDIT,CREDIT,1.0000
D,CREDIT,TAGGING,0.9973
D,TAGGING,MOVE,0.9829
D,TAGGING,COMBAT,0.9939
D,TAGGING,TRADE,1.0000
D,TAGGING,MATE,0.9917
D,TAGGING,CREDIT,0.9973
D,TAGGING,TAGGING,1.0000
P,MOVE,MOVE,1.0000
P,MOVE,COMBAT,0.9034
P,MOVE,TRADE,0.8890
P,MOVE,MATE,0.8677
P,MOVE,CREDIT,0.8833
P,MOVE,TAGGING,0.8890
P,COMBAT,MOVE,0.9034
P,COMBAT,COMBAT,1.0000
P,COMBAT,TRADE,0.9931
P,COMBAT,MATE,0.9843
P,COMBAT,CREDIT,0.9907
P,COMBAT,TAGGING,0.9931
P,TRADE,MOVE,0.8890
P,TRADE,COMBAT,0.9931
P,TRADE,TRADE,1.0000
P,TRADE,MATE,0.9908
P,TRADE,CREDIT,0.9974
P,TRADE,TAGGING,1.0000
P,MATE,MOVE,0.8677
P,MATE,COMBAT,0.9843
P,MATE,TRADE,0.9908
P,MATE,MATE,1.0000
P,MATE,CREDIT,0.9883
P,MATE,TAGGING,0.9908
P,CREDIT,MOVE,0.8833
P,CREDIT,COMBAT,0.9907
P,CREDIT,TRADE,0.9974
P,CREDIT,MATE,0.9883
P,CREDIT,CREDIT,1.0000
P,CREDIT,TAGGING,0.9974
P,TAGGING,MOVE,0.8890
P,TAGGING,COMBAT,0.9931
P,TAGGING,TRADE,1.0000
P,TAGGING,MATE,0.9908
P,TAGGING,CREDIT,0.9974
P,TAGGING,TAGGING,1.0000
X,MOVE,MOVE,1.0000
X,MOVE,COMBAT,-0.8658
X,MOVE,TRADE,-0.7142
X,MOVE,MATE,-0.2314
X,MOVE,CREDIT,-0.6566
X,MOVE,TAGGING,-0.7142
X,COMBAT,MOVE,-0.8658
X,COMBAT,COMBAT,1.0000
X,COMBAT,TRADE,0.9328
X,COMBAT,MATE,0.4009
X,COMBAT,CREDIT,0.9152
X,COMBAT,TAGGING,0.9328
X,TRADE,MOVE,-0.7142
X,TRADE,COMBAT,0.9328
X,TRADE,TRADE,1.0000
X,TRADE,MATE,0.6737
X,TRADE,CREDIT,0.9936
X,TRADE,TAGGING,1.0000
X,MATE,MOVE,-0.2314
X,MATE,COMBAT,0.4009
X,MATE,TRADE,0.6737
X,MATE,MATE,1.0000
X,MATE,CREDIT,0.6769
X,MATE,TAGGING,0.6737
X,CREDIT,MOVE,-0.6566
X,CREDIT,COMBAT,0.9152
X,CREDIT,TRADE,0.9936
X,CREDIT,MATE,0.6769
X,CREDIT,CREDIT,1.0000
X,CREDIT,TAGGING,0.9936
X,TAGGING,MOVE,-0.7142
X,TAGGING,COMBAT,0.9328
X,TAGGING,TRADE,1.0000
X,TAGGING,MATE,0.6737
X,TAGGING,CREDIT,0.9936
X,TAGGING,TAGGING,1.0000
